Hostplus Superannuation Fund,,,,
HC Growth - Class A Option,,,,
,,,,
Table 1 - Assets,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Assets,,,Summary,
WH GROUP LTD,BLLHKZ1,"1,023,431","1,278,882",0.02%
WHARF HOLDINGS LTD,6435576,"2,254","10,239",0.00%
WHARF REAL ESTATE INVESTMENT 1997,BF0GWS4,"2,861","11,815",0.00%
WHEATON PRECIOUS METALS CORP,BF13KN5,440,"39,997",0.00%
WHITBREAD PLC SHS,B1KJJ40,92,"5,480",0.00%
WHITEHAVEN COAL LTD NPV,B1XQXC4,"379,139","2,350,659",0.04%
WILL SEMICONDUCTOR CO LTD-A,BK947V2,"12,101","277,953",0.00%
WILLIAMS COS INC DEL COM,2967181,"1,236","108,001",0.00%
WILLIAMS-SONOMA INC COM,2967589,100,"30,017",0.00%
WILLIS TOWERS WATSON PLC,BDB6Q21,"1,077","545,070",0.01%
WILMAR INTERNATIONAL LTD SGD0.5,B17KC69,"1,415","5,193",0.00%
WINGTECH TECHNOLOGY CO LTD-A,BK4PZC7,"11,017","93,991",0.00%
WISE PLC - A,BL9YR75,"72,456","1,562,357",0.03%
WISETECH GLOBAL LTD WTC,BZ8GX83,"100,089","12,116,783",0.20%
WIX.COM LTD,BFZCHN7,58,"20,231",0.00%
WOLTERS KLUWER CVA EUR0.12,5671519,"12,440","3,337,273",0.06%
WOODSIDE ENERGY GROUP LTD,BMGT167,"947,639","23,311,931",0.39%
WOOLWORTHS GROUP LTD,6981239,"310,538","9,468,313",0.16%
WORKDAY INC-CLASS A COM USD0.001,B8K6ZD1,"11,542","4,810,034",0.08%
WORLDLINE SA - W/I WORLDLINE SA - W/I,BNFWR44,0,0,0.00%
WORLEY GROUP LTD SHS,6562474,"1,310,401","17,952,496",0.30%
WP CAREY INC COM USD0.001,B826YT8,262,"23,029",0.00%
WPP PLC,B8KF9B4,"1,410","23,590",0.00%
WSP GLOBAL INC,BHR3R21,126,"35,931",0.00%
WULIANGYE YIBIN CO LTD-A,BD5CPG2,"65,633","2,022,066",0.03%
WUXI APPTEC CO LTD-A,BHWLWV4,"11,548","139,832",0.00%
WYNN RESORTS LTD,2963811,87,"12,159",0.00%
XCEL ENERGY INC COM,2614807,676,"73,693",0.00%
XCMG CONSTRUCTION MACHIN-A,BD5CM27,"116,363","203,006",0.00%
XERO LTD,B8P4LP4,"162,050","27,315,165",0.45%
XIAMEN C & D INC-A,BP3R6L5,"96,791","224,012",0.00%
XIAMEN FARATRONIC CO LTD-A,BP3RDD6,"20,154","527,265",0.01%
XI'AN MANARECO NEW MATERIA-A,CNE100005X80 (ISIN),397,"2,732",0.00%
XIAOMI CORP-CLASS B,BG0ZMJ9,"826,678","5,929,975",0.10%
XINFENGMING GROUP CO LTD-A,BFB4M98,"18,201","44,567",0.00%
XINJIANG GOLDWIND SCI&TECH-A,BD5CQ58,"44,254","100,572",0.00%
XINYI GLASS HOLDING CO LTD,B05NXN7,"1,298,058","2,129,455",0.04%
XINYI SOLAR HLDGS,BGQYNN1,"1,639,834","1,070,599",0.02%
XYLEM INC COM USD0.01 WI,B3P2CN8,245,"45,903",0.00%
YAKULT HONSHA CO LTD,6985112,216,"6,643",0.00%
YAMAHA MOTOR CO LTD,6985264,"1,126","16,253",0.00%
YANCOAL AUSTRALIA LTD,B84LB45,"71,244","463,085",0.01%
YANGZIJIANG SHIPBUILDING NPV,B1VT035,"2,344","8,297",0.00%
YARA INTERNATIONAL ASA NOK1.7,7751259,86,"3,699",0.00%
YASKAWA ELECTRIC CORP JPY50,6986041,199,"8,327",0.00%
YDUQS PART,BJGV3C2,"413,480","924,247",0.02%
YEALINK NETWORK TECHNOLOGY-A,BFCCR07,"71,312","605,578",0.01%
YETI HOLDINGS INC,BGR7KH2,"24,042","1,495,360",0.02%
YOKOGAWA ELECTRIC CORP,6986427,87,"3,053",0.00%
YOUCARE PHARMACEUTICAL GRO-A,CNE100005XQ2 (ISIN),"1,320","4,184",0.00%
YUM BRANDS INC COM,2098876,259,"56,057",0.00%
YUNNAN ALUMINIUM CO LTD-A,BD5CB75,"83,887","249,695",0.00%
YUNNAN BAIYAO GROUP CO LTD-A,BD5CP95,"32,678","430,981",0.01%
YUNNAN YUNTIANHUA CO-A,BP3RBJ8,"131,198","643,654",0.01%
ZALANDO SE ZAL,BQV0SV7,408,"22,088",0.00%
ZEALAND PHARMA A/S DKK1,B0SDJB4,-32,"-5,180",0.00%
ZEBRA TECHNOLOGIES CORP-CL A 'A'COM USD0,2989356,"2,748","1,714,370",0.03%
ZENKOKU HOSHO CO L NPV,B92MT10,"18,440","1,050,596",0.02%
ZENSHO CO LTD NPV,6042608,93,"8,576",0.00%
ZHEJIANG CHINT ELECTRICS-A,BP3R5K7,"80,647","415,344",0.01%
ZHEJIANG CRYSTAL-OPTECH -A,BD5C9N7,"77,585","379,264",0.01%
ZHEJIANG DINGLI MACHINERY -A,BYZW440,"27,049","383,942",0.01%
ZHEJIANG HUAYOU COBALT CO - A,BFF5BV2,"15,000","96,559",0.00%
ZHEJIANG LONGSHENG GROUP C-A,BP3R4W2,"32,441","73,439",0.00%
ZHEJIANG MEDICINE CO LTD-A,BP3R9X8,"4,335","15,126",0.00%
ZHEJIANG NHU CO LTD-A,BD5CH66,"49,713","240,279",0.00%
ZHEJIANG SEMIR GARMENT CO-A,BD5CM83,"215,271","332,463",0.01%
ZHEJIANG WEIXING INDUSTRI-A,BHQPRH3,"189,705","591,381",0.01%
ZHENGZHOU COAL MINING MACH-A,BP3RCS4,"29,010","82,840",0.00%
ZHENGZHOU YUTONG BUS CO - A,BP3R5T6,"109,077","633,037",0.01%
ZHONGJI INNOLIGHT CO LTD-A,BFFJRM7,"34,122","927,161",0.02%
ZHUHAI COSMX BATTERY CO LT-A,CNE100005030 (ISIN),"2,584","9,142",0.00%
ZIJIN MINING GROUP CO LTD-A,BP3R400,"287,903","957,672",0.02%
ZIJIN MINING GROUP CO LTD-H,6725299,"367,183","1,079,516",0.02%
ZILLOW GROUP INC - C  W/I ZCVVV,BYXJF62,"37,315","4,462,855",0.07%
ZIMMER BIOMET HOLDINGS INC,2783815,223,"38,040",0.00%
ZIP CO LTD,BPP1Y77,"498,639","1,475,973",0.02%
ZOETIS INC COM USD0.01 CL 'A',B95WG16,469,"123,385",0.00%
ZOOM COMMUNICATIONS INC,BGSP7M9,239,"31,491",0.00%
ZOZO INC,B292RC1,179,"9,023",0.00%
ZSCALER INC,BZ00V34,111,"32,427",0.00%
ZTE CORP-A,BD5CPY0,"50,211","446,275",0.01%
ZURICH INSURANCE GROUP AG,5983816,150,"143,800",0.00%
Total,,,"3,524,786,516",58.69%
Unlisted Equity,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
AIF Capital Asia Management Ltd,,,"617,825",0.01%
Airtree Ventures,,,"3,151,580",0.05%
Apollo Global Management,,,"3,140,742",0.05%
Apostle Funds Management,,,"197,229,125",3.28%
Artesian Venture Capital,,,"13,214,087",0.22%
Artesian Venture Partners Pty Ltd,,,"73,750",0.00%
Baillie Gifford Overseas Limited,,,"11,812,234",0.20%
BB6 (HP) Trust,,,"865,913",0.01%
BCP HostPlus Co-Investment Trust,,,"986,643",0.02%
Blackbird Ventures Pty Limited,,,"66,573,763",1.11%
Blackrock,,,"9,654,067",0.16%
Blackstone and Co,,,"26,878,166",0.45%
Brandon Capital Partners,,,"12,476,529",0.21%
Carthona Capital FS Pty Ltd,,,"12,004,450",0.20%
Citibank Transtition Team,,,"222,018",0.00%
Continuity Capital Partners Pty Limited,,,"51,252",0.00%
Cornell Capital,,,"3,654,683",0.06%
Cross Ocean Partners,,,"1,445,102",0.02%
CSIRO Financial Services Pty Ltd,,,"11,277,464",0.19%
Fife Capital,,,"15,062",0.00%
Five V Capital Pty Ltd,,,"1,138,064",0.02%
Flexstone Partners,,,"51,722,814",0.86%
Hamilton Lane,,,"15,059,116",0.25%
Harbourvest Partners,,,"1,974,644",0.03%
Hermes GPE LLP,,,"15,724,357",0.26%
Hosking Partners LLP,,,"870,824",0.01%
IFM Investors Pty Ltd ,,,"25,066,785",0.42%
Indigo Asset Management,,,"6,011",0.00%
IP2IPO Australia Pty Ltd,,,"9,340,804",0.16%
iPG Funds,,,"855,192",0.01%
ISPT Pty Ltd,,,0,0.00%
Kelso & Company L.P.,,,"17,316,840",0.29%
Lexington Partners,,,"17,858,227",0.30%
LGT Capital Partners (Ireland) Limited,,,"22,845,510",0.38%
Maverick Capital Ltd.,,,"131,290,482",2.19%
MH Carnegie & Co,,,"3,972,863",0.07%
Morgan Stanley,,,"5,037,873",0.08%
ORBIS Investment Management Limited,,,"256,253,630",4.27%
Paradice Investment Management,,,"7,705,754",0.13%
Partners Group,,,"42,357,763",0.71%
Pomona Capital,,,"3,315",0.00%
ROC Capital Pty Ltd,,,"15,118,174",0.25%
Safar Partners LLC,,,"29,664,402",0.49%
Siguler Guff & Company LP,,,"41,575,656",0.69%
Square Peg Capital Pty Ltd,,,"51,051,395",0.85%
T Rowe Price,,,"1,273,218",0.02%
T Ventures Management Co Ltd,,,"5,903,006",0.10%
Virtual Communities Pty Ltd,,,"72,998",0.00%
Warburg Pincus LLC,,,"14,089",0.00%
Wilshire Advisors LLC,,,"276,466",0.00%
Wollemi Capital,,,"2,525,183",0.04%
Total,,,"1,149,219,910",19.14%
Unlisted Property,,,,
Held directly or by associated entities or by PSTs,,,,
Internally managed,,,,
Name/kind of investment item,Address,% of property held,Value (AUD),Weighting (%)
Hostplus Commercial Trust,"Levels 1, 9 & 10,  270 Adelaide Street, Brisbane, QLD 4000",100.00%,"147,336",0.00%
Hostplus Residential PropertyTrust,"173 -175 Phillip Street, Sydney NSW",90.00%,,0.00%
Hostplus Residential PropertyTrust,"54 Bracks St, North Fremantle WA",60.00%,,0.00%
Hostplus Residential PropertyTrust,"64 Peel Street & 9 Cordella St, South Brisbane QLD",60.00%,,0.00%
Hostplus Residential PropertyTrust,"Helensvale, Helensvale QLD",50.00%,,0.00%
Hostplus Residential PropertyTrust,"Moonee Valley, Moonee Valley VIC",72.00%,,0.00%
Hostplus Residential PropertyTrust,,100.00%,"2,847,160",0.05%
Total,,,"2,994,497",0.05%
Unlisted Property,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
AMP Capital Investors,,,"216,652",0.00%
BlackRock Investment Management (UK) Limited,,,185,0.00%
Blackstone and Co,,,"208,630",0.00%
Blackstone Real Estate Partners Europe,,,"1,055,805",0.02%
Charter Hall Funds Management Limited,,,"79,237,834",1.32%
Chauvel Capital Partners,,,"1,571,780",0.03%
DEXUS Property Group,,,"6,475,832",0.11%
Flexstone Partners,,,"1,710,080",0.03%
Gresham Capital Partners,,,471,0.00%
Invesco Adviser INC NA,,,"12,401,722",0.21%
ISPT Pty Ltd,,,"47,650,707",0.79%
Kayne Anderson Capital Advisors LP,,,"55,149,879",0.92%
Lendlease Investment Management Pte Ltd,,,"533,938",0.01%
Lendlease Real Estate Investments Limited,,,"45,461,809",0.76%
Nuveen,,,"19,584,620",0.33%
Pretium Partners,,,"17,571,727",0.29%
QIC Limited,,,"5,368,952",0.09%
Total,,,"294,200,621",4.90%
Unlisted Infrastructure,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Adelaide Airport Limited,,,"14,855,395",0.25%
AMP Capital Investors,,,"7,843,756",0.13%
ARES Management LLC,,,"8,023",0.00%
Campus Living Funds Management Limited,,,"9,827,334",0.16%
Colonial First State Infrastructure Holdings Limited,,,"4,846",0.00%
Darling Harbour Live 3 Pty Limited,,,"2,248,056",0.04%
Darling Harbour Live 4 Pty Limited,,,"2,248,056",0.04%
First Sentier Investors,,,"107,538,146",1.79%
FP Consortium Pty Ltd,,,"13,450,167",0.22%
Gardior,,,"1,928,231",0.03%
Global Infrastructure Partners,,,"19,129,651",0.32%
Golden NA Power Holdings,,,"6,994,237",0.12%
IFM Investors Pty Ltd ,,,"129,298,412",2.15%
Macquarie Investment Management Australia Ltd,,,"3,296",0.00%
Morrison & Co Utilities Management (Australia) Pty Ltd,,,"49,811,765",0.83%
NSW Ports Property Holdings,,,"4,078,575",0.07%
NSW Ports Pty Ltd,,,0,0.00%
Octopus Investments Australia,,,"5,521,067",0.09%
QGIF IONA,,,"218,681",0.00%
QIC Limited,,,"24,008,251",0.40%
Queensland Government Insurance Fund,,,"3,094,514",0.05%
Stonepeak Infrastructure Partners,,,"2,335,044",0.04%
Utilities of Aust Pty Ltd,,,0,0.00%
Total,,,"404,445,503",6.73%
Unlisted Alternatives,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
Apollo Global Management,,,"7,818,361",0.13%
Apostle Funds Management,,,"1,687,086",0.03%
Athora Holding Ltd,,,"15,273,749",0.25%
Blackstone and Co,,,"51,549,598",0.86%
Blue Ocean Equities,,,"296,419",0.00%
Fitzroy Horizons Fund,,,"29,267,181",0.49%
Hayfin Management Limited,,,"14,922,070",0.25%
Irradiant Partners,,,"5,136,344",0.09%
Kayne Anderson Capital Advisors LP,,,"29,121,091",0.48%
Select Market Access Fund Ltd,,,"36,013,216",0.60%
Snow Phipps & Guggenheim,,,"30,146",0.00%
Taconic Capital Advisors,,,"5,378,788",0.09%
Willow Tree Credit Parters LP,,,"10,562,621",0.18%
Total,,,"207,056,670",3.45%
Total Investment Items,,,"6,005,369,878",100.00%
,,,,
,,,,
Table 2 — Derivatives by kind of derivative,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Derivatives,,,,
Kind of derivative,,,Value (AUD),Weighting (%)
Swaps,,,0,0.00%
Forwards,,,"-95,323,987",-1.59%
Futures,,,"-3,061,357",-0.05%
Options,,,0,0.00%
Total,,,"-98,385,344",-1.64%
,,,,
,,,,
Table 3 — Derivatives by asset class,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Derivatives by Asset Class,,,,
Asset class,,,Actual asset allocation (% of total assets (including derivatives) in the investment option),Effect of derivatives exposure (% of total assets (including derivatives) in the investment option)
Cash,,,3.90%,-1.83%
Fixed Income,,,2.91%,-0.04%
Equity,,,78.27%,1.87%
Property,,,4.89%,0.00%
Infrastructure,,,6.75%,0.00%
Alternatives,,,3.27%,0.00%
Total,,,100.00%,0.00%
,,,,
,,,,
Table 4—Derivatives by currency,,,,
,,,,
Portfolio Holdings Information for Investment Option HC Growth - Class A Option —Derivatives by Currency,,,,
Currency exposure,,,Actual currency exposure (% of assets and derivatives under management),Effect of derivatives exposure (% of assets and derivatives under management))
AUD,,,48.38%,20.51%
USD,,,34.19%,-13.49%
Developed,,,8.99%,-3.27%
Emerging,,,8.43%,-1.91%
